模块,因子,计算公式／规则,数据要求,方向,当前权重／分值,缺失数据处理
持有期时点评分,20日短期均值回归,近10日收益相对自身近250日分布的z分数；z≥1扣分，z≤-1小幅加分,至少120个交易日；只用于20日持有期,极端追高偏负面，短期超跌小幅正面,-5至+3分，再乘历史验证系数；其他周期0分,样本不足或非20日周期时0分
持有期时点评分,成交量比,V20/V60仅结合价格方向解释，不直接计分,近20日与60日平均成交量,成交量本身没有固定涨跌方向,0分；仅作量价背景,成交量缺失时不展示确认信息
持有期时点评分,52周高点位置,"P/rolling_max(P,252)-1",至少252个交易日,只表示所处位置，不重复代替趋势分,0分；仅展示,数据不足时不展示
持有期时点评分,10日量价确认,近10日涨跌与V10/V30组合为放量上涨、缩量上涨、放量下跌或中性,至少30个交易日价格和成交量,只作解释背景，因样本外表现不稳定不计分,0分；仅展示,价格或成交量缺失时不展示
持有期时点评分,波动率历史分位,20日年化波动率在自身近250日中的分位,至少120个交易日,高分位提示不确定性高，不直接预测涨跌,0分；进入风险解释,数据不足时不展示
持有期时点评分,当前分数局部自校准,在T日以前已知结果中，选取与当前原始分最接近的25%历史时点，计算同向命中率与符号调整后中位收益,至少12个已完成的独立历史结果,只能维持、减半或阻断方向信号，绝不反转失败信号,通过×1并可形成方向；有限通过×0.5但只展示；未通过×0,样本不足时不允许据此增强方向
持有期时点评分,跨股票样本外认证,同一周期须在开发股票、较晚时段和至少两批不同股票留出样本中保持正向后才允许输出方向,多股票、跨阶段且与调参样本分离的历史检验,只控制能否给方向，不把测试答案写回当次分数,已认证才可输出方向；未认证×0,最终封闭检验尚无周期稳定通过；当前全部只展示评分
持有期时点评分,宏观修正,"clip((宏观分-50)×0.08或0.10,-2,2)",宏观评分,宏观分高于50为正面,最多±2分,宏观分缺失时0分
持有期时点评分,基本面修正,短期0；60／120／250日分别乘0.06／0.10／0.12并截断,基本面评分,基本面分高于50为正面；仅用于中长期,最多±4分,基本面不可用时0分
持有期时点评分,历史相似周期修正,继续展示相似样本分布，但不进入生产评分,可得相似历史样本,只作情景说明，不代表未来方向,0分,样本不足时明确显示，不强行预测
持有期时点评分,最新资讯修正,Σ(情绪×时效×相关度×来源权重)/Σ权重×8，并截断到±8,至少2条有效公开资讯且可信度≥35,正面资讯加分，负面资讯减分,最多±8分；不修改原量化分,无资讯或可信度不足时0分
最新资讯修正,标题与摘要情绪,(正面词命中数-负面词命中数)/总命中数,公开资讯标题与摘要；中英文透明词典,正值偏正面，负值偏负面,进入资讯加权平均；自身范围-1至1,没有情绪词时记0，不臆测方向
最新资讯修正,个股相关度,公司全称命中0.98；简称0.92；代码0.84—0.86；基础0.55,标题、摘要、市场、代码和公司名,相关度越高，资讯权重越高,作为乘数0.55—0.98,相关度<0.50的资讯剔除
最新资讯修正,资讯时效,≤1日=1.00；≤3日=0.85；≤7日=0.65；更久=0.35,可解析的公开发布时间,越新权重越高,作为乘数0.35—1.00,日期缺失时按本次检索窗口最旧档0.35
最新资讯修正,来源权重,交易所、监管、公司公告等高权威来源=1.20；其他公开来源=1.00,来源名称,高权威来源权重更高,作为乘数1.00或1.20,来源缺失按公开资讯1.00
最新资讯修正,资讯可信度闸门,"min(90,15+min(条数×7,42)+min(来源数×5,20)+min(有日期条数×2,13))",有效资讯数、独立来源数、可解析日期数,越高表示资讯证据更完整,至少2条且可信度≥35才允许修正,未通过闸门时资讯修正固定为0
相似周期距离,5日收益,先按历史四分位距标准化；加权欧氏距离转相似度。P/P[-5]-1,当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,5%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,20日收益,先按历史四分位距标准化；加权欧氏距离转相似度。P/P[-20]-1,当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,10%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,60日收益,先按历史四分位距标准化；加权欧氏距离转相似度。P/P[-60]-1,当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,9%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,120日收益,先按历史四分位距标准化；加权欧氏距离转相似度。P/P[-120]-1,当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,4%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,20日年化波动,"先按历史四分位距标准化；加权欧氏距离转相似度。std(r,20)×√252",当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,12%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,60日年化波动,"先按历史四分位距标准化；加权欧氏距离转相似度。std(r,60)×√252",当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,8%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,60日下行波动,"先按历史四分位距标准化；加权欧氏距离转相似度。std(r<0,60)×√252",当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,6%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,60日回撤位置,"先按历史四分位距标准化；加权欧氏距离转相似度。P/rolling_max(P,60)-1",当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,8%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,120日回撤位置,"先按历史四分位距标准化；加权欧氏距离转相似度。P/rolling_max(P,120)-1",当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,6%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,价格相对MA20,先按历史四分位距标准化；加权欧氏距离转相似度。P/MA20-1,当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,6%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,价格相对MA60,先按历史四分位距标准化；加权欧氏距离转相似度。P/MA60-1,当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,6%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,20日／60日成交量比,先按历史四分位距标准化；加权欧氏距离转相似度。V20/V60,当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,4%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,20日相对基准,"先按历史四分位距标准化；加权欧氏距离转相似度。R股票,20-R基准,20",当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,6%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,60日相对基准,"先按历史四分位距标准化；加权欧氏距离转相似度。R股票,60-R基准,60",当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,4%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,基准20日收益,"先按历史四分位距标准化；加权欧氏距离转相似度。R基准,20",当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,3%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
相似周期距离,基准20日年化波动,"先按历史四分位距标准化；加权欧氏距离转相似度。std(r基准,20)×√252",当前时点与历史候选时点均可计算,不是单调涨跌方向；数值越接近当前状态越相似,3%,当前可用特征少于8项则不检索；其余可用权重重新归一，候选行缺失即剔除
数据完整度,历史行数,≥750／500／250／120／其他=40／34／26／16／8分,股票日线,数据越长，可信度越高,最高40分,上市不足五年时再设置总分上限
数据完整度,行情新鲜度,滞后≤5日:+20；≤12日:+12；更久:+3,最后交易日期,越新越好,最高20分,日期较旧时明确提示
数据完整度,Beta可得性,可得:+15；不可得:+6,股票与基准对齐收益,可得时证据更完整,15或6分,不可得不伪造，仅降低完整度
数据完整度,基本面可得性,个股可得:+18；不可得:+5；基金:+12,公开财务／证券类型,可得时证据更完整,最高18分,缺失时行情分析继续
数据完整度,宏观可得性,可得:+7；不可得:+2,基准和公开宏观数据,可得时证据更完整,7或2分,缺失时按中性
数据完整度,极端日收益,绝对日收益>70%的天数×2扣分，最多-10,全部日收益,异常越多，可信度越低,0至-10分,只提示复权／公司事件核对，不直接判涨跌
适配与仓位,用户等级与股票等级差,C等级-R等级≤-2不适配；=-1有限适配；其余适配,用户风险等级、股票风险等级,用户承受力高于股票风险时更适配,门槛规则,任一等级不可得时证据不足
适配与仓位,单股风险预算,C1—C5风险预算=0.25%／0.50%／1%／2%／3%,用户等级,等级越高允许承担的资产损失预算越高,风险预算率,不适配或证据不足时上限为0
适配与仓位,历史压力损失,"max(同周期历史收益5%分位绝对值,8%)",所选周期历史收益,压力损失越大，可持仓比例越低,仓位分母,无周期时仓位为0
适配与仓位,等级仓位上限,C1—C5=3%／5%／10%／15%／20%；R5再×0.75,用户等级和股票等级,风险越高上限越低,硬上限,不适配或证据不足时上限为0
适配与仓位,时点与有限适配乘数,历史验证未通过或时点<45时上限=0；45—59上限×0.5；有限适配再×0.5,所选周期时点评分、历史验证和适配结果,信号不可靠、偏弱或适配有限时降低仓位,0／0.5／1.0乘数,方向证据不足或时点评分缺失时上限为0
卖出信号,个人亏损边界,"min(问卷亏损上限, clip(年化波动×√(周期/252)×0.85,4%,20%))",持仓成本、收益率、所选周期、波动率,亏损超过边界为核心风险,核心信号,成本缺失时显示数据不足，不触发
卖出信号,趋势破位,连续2日收盘<MAfast且MAfast<MAslow,至少20日日线,触发为负面,核心信号,数据不足时不形成卖出判断
卖出信号,盈利回撤保护,浮盈达到启用条件后，从近期高点回撤达到动态阈值,成本收益、近期高点、波动率,触发为负面,辅助信号,成本缺失或未达到浮盈条件时不启用
卖出信号,相对市场弱势,"R股票-R基准≤-clip(波动×√(周期/252)×0.5,3%,10%)",股票和基准日线,显著跑输为负面,辅助信号,基准缺失时数据不足
卖出信号,基本面恶化,基本面分≤35且有风险，或至少2项经营指标恶化,最近公开财务,触发为负面,辅助信号,财务缺失时不触发
卖出信号,相似周期转弱,可信度达标且上涨样本占比≤35%且收益中位数<0,相似周期结果,触发为负面,辅助信号，不单独决定卖出,可信度不足时不触发
加仓条件分,原时点评分（含可用资讯）,先要求持有期历史验证通过；再以所选周期原分为起点，资讯仅作有限修正,当前完整分析和最新公开资讯,验证通过后，分数越高越支持加仓,起点0—100；<45硬限制，45—59条件限制,无可用方向或周期时不允许形成加仓结论
加仓条件分,个人适配,适配:+8；有限适配:-8；不适配／证据不足:-30,用户等级、股票等级和安全限制,适配提高条件分,+8／-8／-30分,缺失按证据不足-30并形成硬限制
加仓条件分,现有卖出状态,继续持有:+8；警戒观察:-12；退出复核／分批减仓:-30,卖出信号模块,风险状态越严重越不支持加仓,+8／-12／-30分,证据不足不加分并加入条件限制
加仓条件分,剩余风险预算,计划加仓≤模型上限-当前市值且剩余额度>0:+8；否则-25,当前持仓市值、模型仓位上限和计划金额,不超预算为正面，超预算为硬限制,+8或-25分,任一金额不可得时不允许通过
加仓条件分,数据完整度,(数据完整度-50)×0.12,主分析数据完整度0—100,完整度越高小幅加分,约-6至+6分,<35形成硬限制；35—59降低可信度
加仓条件分,硬限制数量,"-min(硬限制条数×8,24)",适配、时点、预算、卖出状态等硬规则,硬限制越多，条件分越低,0至-24分；最终截断0—100,无硬限制时0分
加仓条件分,会话组合集中度,已有≥2只持仓且加仓后本股占会话组合>50%时提示集中,永久会话中有效投入本金,集中度高为负面约束,当前为条件限制，不直接进入数值分,其他会话本金缺失时只按有效记录计算并提示口径
